scheme_name,highlight,detailed_overview,benefits,eligibility,required_documents,source_link
Krishi Samruddhi Yojana,"₹25,000 crore investment to boost sustainable and climate-resilient farming in Maharashtra.","This is a 5-year, ₹25,000 crore scheme designed to address high input costs and climate variability. It aims to transform Maharashtra's farming by promoting climate-resilient practices, modernizing farming techniques, and strengthening the entire agri value chain. It places a strong emphasis on technology adoption by linking to AgriStack for data-driven farming and provides significant support to Farmer Producer Organizations (FPOs) to enhance market access.","Financial assistance for irrigation, seeds, and equipment; support for mechanization and agri-infrastructure.",All registered farmers in Maharashtra owning cultivable land.,"Aadhaar Card, Land Ownership Proof, Bank Passbook, Crop Details.",https://www.linkedin.com/pulse/krishi-samruddhi-yojana-transform-maharashtras-farming-lj0uc
MahaAgri-AI Policy 2025-29,"Digital transformation policy using AI, drones, and data analytics for precision agriculture.","This is a 5-year policy with a ₹500 crore budget, marking India's first comprehensive AI strategy for agriculture. Its goal is to use AI, drones, and robotics to address challenges like climate change and market inefficiencies. Key components include establishing an 'Agricultural Data Exchange (ADeX)' for secure data sharing, an 'AI Sandbox' for startups, and the 'VISTAAR' initiative for multilingual AI-based advisories to farmers.","Access to digital platforms, AI-based advisory services, drone mapping support, and training programs.",Farmers and agri-startups registered under Maharashtra Agri Department.,"Farmer Registration ID, Aadhaar, Mobile Number, Land Records.",https://www.newsonair.gov.in/maharashtra-cabinet-approves-mahaagri-ai-2025-29-to-transform-agri-sector/
Bhausaheb Fundkar Horticulture Plantation Scheme,Encourages plantation of perennial horticulture crops in the Konkan region.,"This 100% state-sponsored scheme, implemented via the MahaDBT portal, encourages farmers to plant perennial orchards (covering 16 crops including mango, cashew, guava, and pomegranate) for long-term income. The financial assistance is uniquely provided over three years (e.g., 50% in Year 1, 30% in Year 2, 20% in Year 3) to ensure plant survival and maintenance. Beneficiaries must maintain a minimum plant survival rate (80% in Year 1, 90% in Year 2) to receive the full subsidy.","Subsidy for saplings, irrigation, and drip systems; support for post-harvest management.",Farmers from Konkan region engaged in horticulture.,"Land Record, Aadhaar Card, Bank Details, Crop Plan.",https://www.myscheme.gov.in/schemes/bhausaheb-fundkar-horticulture-plantataion-scheme
Namo Shetkari Maha Samman Nidhi Yojana,"Income support scheme for farmers providing ₹6,000 yearly in addition to PM-KISAN benefits.","This scheme provides additional financial assistance to all farmers in Maharashtra who are registered beneficiaries of the central PM-KISAN scheme. It grants an extra ₹6,000 per year, which, combined with the central scheme, provides a total of ₹12,000. The funds are disbursed in three equal installments of ₹2,000 directly to the farmer's Aadhaar-linked bank account, following the same schedule as PM-KISAN.","₹6,000 yearly cash transfer; merged benefits with central PM-KISAN scheme.",All PM-KISAN registered farmers in Maharashtra.,"Aadhaar Card, Bank Account Details, Land Ownership Proof.",https://mariyojana.com/namo-shetkari-yojana-2025-maharashtra/
Mukhyamantri Saur Krishi Vahini Yojana (MSKVY),Provides solar-powered electricity to farmers for day-time irrigation.,"This initiative, upgraded to 'MSKVY 2.0', aims to provide reliable daytime electricity to agricultural consumers for irrigation. It achieves this by solarizing agricultural (AG) feeders. This involves setting up decentralized solar projects (0.5 MW to 25 MW) close to existing MSEDCL substations. This model reduces transmission losses and allows farmers to earn income by leasing barren land for these solar projects.","Subsidized solar panels, lower electricity bills, 24x7 power for irrigation.",Registered farmers using electric irrigation pumps.,"Aadhaar Card, Electricity Bill, Land Ownership Proof, Bank Details.",https://mahadiscom.in/solar-mskvy/
Birsa Munda Krishi Kranti Yojana,Focused on empowering tribal farmers with irrigation and farm development support.,"This is a comprehensive welfare scheme aimed at raising the standard of living for farmers belonging to the Scheduled Tribe (ST). It provides 100% financial assistance for a package of irrigation-related components, including the construction of a new well (up to ₹4 lakh), old well repairs, installation of an electric or solar pump, and micro-irrigation systems (drip/sprinkler) to ensure sustainable water access.","Financial assistance for irrigation, drip systems, and farm ponds.",Tribal farmers holding agricultural land in notified tribal districts.,"Tribal Certificate, Aadhaar Card, Land Ownership Proof, Bank Details.",https://pmgovtschemehub.com/mahadbt-farmer-scheme-list/
State Agricultural Mechanization Scheme,Encourages use of modern farm equipment to improve productivity.,"This scheme, implemented through the MahaDBT portal, aims to promote the use of modern machinery to increase productivity and reduce manual labor. It provides financial subsidies (ranging from 50-80%) for purchasing equipment like tractors, power tillers, and harvesters. A key objective is to establish 'Custom Hiring Centres' (CHCs), which allow small and marginal farmers to rent expensive machinery, making mechanization accessible to all.",40–50% subsidy on farm equipment purchase.,All farmers in Maharashtra with valid land records.,"Land Record, Aadhaar, Machinery Quotation, Bank Details.",https://pmgovtschemehub.com/mahadbt-farmer-scheme-list/
Integrated Poultry Development Scheme,Promotes poultry farming as an income source with financial incentives.,"This scheme promotes backyard poultry farming to provide supplementary income and nutritional security for rural families, especially marginal farmers and women's self-help groups. It provides a 50% subsidy (75% for SC/ST) for a 'package' unit, such as the '25+3 Pullet' unit (25 female, 3 male birds) or a '100 Day Old Chicks' unit, which includes partial costs for feed and shed construction.","Subsidy on poultry shed construction, chicks, and feed.","Farmers, SHGs, or entrepreneurs starting poultry units.","Aadhaar, Bank Passbook, Project Report, Land Ownership Proof.",https://www.zpsatara.gov.in/en/scheme/all-schemes-under-the-animal-husbandry-department-state-government-schemes/
Agristack Maharashtra / Farmer ID Initiative,"Digital farmer ID linking land records, Aadhaar, and bank details for unified access.","This is a foundational digital initiative to create a unified database called the Maharashtra Farmer Registration Portal (MFRP). It assigns a Unique Farmer ID to every farmer, which links their Aadhaar number, digital land records (7/12), and bank account information. This 'stack' enables proactive, transparent, and paperless delivery of services like Direct Benefit Transfers (DBT) and crop insurance.","Easy access to government schemes, transparent subsidy transfer, and data-driven planning.",All farmers in Maharashtra owning or cultivating land.,"Aadhaar, 7/12 Extract, Bank Details.",https://agristack.net/agristack-farmer-registry-maharashtra/
Clean Plant Project,Ensures supply of disease-free planting material through certified nurseries.,"This is a centrally approved program under the Mission for Integrated 'Development of Horticulture (MIDH). It addresses the issue of disease-infected planting material by establishing 'Clean Plant Centers'. These centers will produce and distribute high-quality, certified, disease-free and virus-free saplings. Three such centers are being set up in Maharashtra, focusing on key crops: Pune (for grapes), Nagpur (for oranges/citrus), and Solapur (for pomegranates).","Access to high-quality, disease-free saplings; better yield and resistance.",Farmers involved in horticultural crop cultivation.,"Aadhaar Card, Crop Details, Land Record.",https://timesofindia.indiatimes.com/city/nagpur/nagpur-included-in-clean-plant-project-to-provide-disease-free-seedlings-to-farmers/articleshow/121632283.cms
