main_crop,intercrop1,intercrop2,intercrop3,comment,optionA_main,optionA_ic_pct,optionB_main,optionB_ic_pct,optionC_main,optionC_ic_pct,note,,,,,,
Sugarcane,Onion,Garlic,Soybean,"Onion and garlic utilize the wide spacing between sugarcane rows and provide quick market returns. Soybean adds nitrogen to the soil and improves fertility, reducing fertilizer demand for the next crop cycle.",80,20,85,15,80,20,Default: inter-rows onion+garlic; options allow single intercrop choices,,,,,,
Jowar,Tur,Moong,Groundnut,"These legumes fix nitrogen and improve soil fertility, while their short duration complements Jowar’s long growth cycle. The combination suits dryland farming and helps reduce pest pressure.",67,33,67,33,67,33,Default: 2:1 Jowar:Tur; options let farmer choose any single legume,,,,,,
Cotton,Tur,Soybean,Groundnut,"Tur and soybean enrich the soil with nitrogen, and groundnut enhances soil structure. These crops mature earlier, ensuring additional income before cotton harvest while suppressing weeds.",67,33,67,33,67,33,Default: cotton + one legume (2:1); options equal,,,,,,
Rice,Sesbania,Urad,Okra,"Sesbania acts as a green manure crop, improving soil organic matter. Urad fixes nitrogen and matures early, while okra utilizes the residual moisture after rice harvest, ensuring land productivity post-rice.",70,30,67,33,67,33,Sesbania as green manure default; vegetables as alternative intercrops,,,,,,
Wheat,Mustard,Gram,Linseed,"Mustard and linseed thrive under similar winter conditions, and gram enhances nitrogen levels. This mix diversifies produce and minimizes pest and disease risks common in monocropping wheat systems.",90,10,67,33,67,33,Wheat:Mustard commonly 9:1; gram option 2:1 if farmer prefers pulse,,,,,,
Groundnut,Castor,Tur,Sunflower,"Castor and sunflower are deep-rooted and draw nutrients from lower soil layers, while groundnut uses upper layers efficiently. Tur supports nitrogen enrichment, making this a nutrient-balanced combination.",67,33,67,33,67,33,Groundnut base + one oilseed/fibre intercrop,,,,,,
Maize,Beans,Soybean,Pumpkin,"Beans and soybean fix nitrogen for maize, and pumpkin acts as a living mulch, conserving soil moisture and suppressing weeds. Together, they optimize space and moisture utilization.",50,30,67,33,50,20,Default: Three-Sisters; or maize-soybean row 2:1 option,,,,,,
Tur,Moong,Maize,Groundnut,"Moong matures early and provides quick returns, while maize serves as a support crop in initial growth stages. Groundnut enhances soil fertility through nitrogen fixation, maintaining soil health.",67,33,67,33,67,33,Pigeonpea (Tur) with a short pulse or cereal 2:1,,,,,,
Urad,Maize,Sesame,Cotton,"Urad enriches soil nitrogen for maize and cotton. Sesame provides an additional oilseed income with minimal nutrient competition, making it suitable for rainfed areas with moderate fertility.",67,33,67,33,67,33,Pulse base + cereal or oilseed as option,,,,,,
Moong,Sugarcane,Maize,Groundnut,"Moong fixes nitrogen for the following crops, while sugarcane uses the vertical space efficiently. Groundnut enhances soil aeration, and maize prevents excessive weed growth in interspaces.",67,33,20,80,67,33,Flag: Moong main with Sugarcane intercrop is impractical; options show realistic choices (Maize/Groundnut).,,,,,,
Gram,Mustard,Linseed,Wheat,"Gram complements mustard and linseed in winter climates, sharing similar irrigation needs. Mustard offers high market value, and linseed diversifies income while improving soil texture.",67,33,67,33,67,33,Pulse base + oilseed or cereal option,,,,,,
Masoor,Mustard,Linseed,Barley,"Masoor benefits from nitrogen-fixing ability, while mustard and linseed increase overall profitability. Barley acts as a soil cover crop, reducing erosion and improving water retention.",67,33,67,33,67,33,Similar to Gram patterns,,,,,,
Soybean,Maize,Tur,Cotton,"Soybean fixes atmospheric nitrogen for subsequent crops. Maize utilizes tall structure spacing efficiently, and cotton benefits from improved soil nitrogen and reduced pest incidence.",67,33,67,33,67,33,Show maize/legume/fibre options — farmer can pick any single intercrop at 2:1,,,,,,
Ginger,Maize,Cowpea,Turmeric,"Maize provides partial shade for ginger’s tender shoots, cowpea improves nitrogen content, and turmeric shares similar moisture needs. This combination helps maintain soil moisture and yields dual rhizome crops.",67,33,67,33,0,100,"Do NOT combine Ginger+Turmeric; options: ginger+maize or ginger+cowpea. Turmeric shown as incompatible with Ginger (if chosen, ginger=0).",,,,,,
Turmeric,Maize,Ginger,Coriander,"Maize offers shade and structure, while ginger and turmeric complement each other’s rooting patterns. Coriander adds value and prevents weed spread, optimizing field usage in humid zones.",67,33,0,100,67,33,Turmeric+maize default; ginger option incompatible (rhizome conflict).,,,,,,
Grapes,Onion,Garlic,Marigold,"Onion and garlic deter soil-borne pests and diseases common in vineyards. Marigold repels nematodes naturally, improving grapevine health and reducing pesticide dependency.",85,15,85,10,85,10,Perennial grapes: understorey limited; marigold recommended for pest control,,,,,,
