Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Fertilizer,Needed_Humidity,Crop,Days_to_Harvest
75,50,100,6.5,1000,20,Urea,78,Sugarcane,476
80,50,100,6.5,1000,20,Urea,78,Sugarcane,475
85,50,100,6.5,1000,20,Urea,78,Sugarcane,474
90,50,100,6.5,1000,20,Urea,78,Sugarcane,474
95,50,100,6.5,1000,20,Urea,78,Sugarcane,473
100,50,100,6.5,1000,20,Urea,78,Sugarcane,472
75,55,105,7,1100,25,Urea,78,Sugarcane,471
80,55,105,7,1100,25,Urea,78,Sugarcane,470
85,55,105,7,1100,25,Urea,78,Sugarcane,469
90,55,105,7,1100,25,Urea,78,Sugarcane,469
95,55,105,7,1100,25,Urea,78,Sugarcane,468
100,55,105,7,1100,25,Urea,78,Sugarcane,467
75,60,110,7.5,1200,30,Urea,78,Sugarcane,471
80,60,110,7.5,1200,30,Urea,78,Sugarcane,471
85,60,110,7.5,1200,30,Urea,78,Sugarcane,470
90,60,110,7.5,1200,30,Urea,78,Sugarcane,469
95,60,110,7.5,1200,30,Urea,78,Sugarcane,469
100,60,110,7.5,1200,30,Urea,78,Sugarcane,468
75,50,115,6.5,1300,35,Urea,78,Sugarcane,479
80,50,115,6.5,1300,35,Urea,78,Sugarcane,478
85,50,115,6.5,1300,35,Urea,78,Sugarcane,477
90,50,115,6.5,1300,35,Urea,78,Sugarcane,476
95,50,115,6.5,1300,35,Urea,78,Sugarcane,476
100,50,115,6.5,1300,35,Urea,78,Sugarcane,475
75,55,100,7,1400,20,DAP,78,Sugarcane,480
80,55,100,7,1400,20,DAP,78,Sugarcane,480
85,55,100,7,1400,20,DAP,78,Sugarcane,479
90,55,100,7,1400,20,DAP,78,Sugarcane,478
95,55,100,7,1400,20,DAP,78,Sugarcane,477
100,55,100,7,1400,20,DAP,78,Sugarcane,477
75,60,105,7.5,1500,25,DAP,78,Sugarcane,477
80,60,105,7.5,1500,25,DAP,78,Sugarcane,476
85,60,105,7.5,1500,25,DAP,78,Sugarcane,475
90,60,105,7.5,1500,25,DAP,78,Sugarcane,474
95,60,105,7.5,1500,25,DAP,78,Sugarcane,474
100,60,105,7.5,1500,25,DAP,78,Sugarcane,473
75,50,110,6.5,1000,30,DAP,78,Sugarcane,471
80,50,110,6.5,1000,30,DAP,78,Sugarcane,471
85,50,110,6.5,1000,30,DAP,78,Sugarcane,470
90,50,110,6.5,1000,30,DAP,78,Sugarcane,469
95,50,110,6.5,1000,30,DAP,78,Sugarcane,469
100,50,110,6.5,1000,30,DAP,78,Sugarcane,468
75,55,115,7,1100,35,DAP,78,Sugarcane,474
80,55,115,7,1100,35,DAP,78,Sugarcane,473
85,55,115,7,1100,35,DAP,78,Sugarcane,472
90,55,115,7,1100,35,DAP,78,Sugarcane,472
95,55,115,7,1100,35,DAP,78,Sugarcane,471
100,55,115,7,1100,35,DAP,78,Sugarcane,470
75,60,100,7.5,1200,20,MOP,78,Sugarcane,475
80,60,100,7.5,1200,20,MOP,78,Sugarcane,475
85,60,100,7.5,1200,20,MOP,78,Sugarcane,474
90,60,100,7.5,1200,20,MOP,78,Sugarcane,473
95,60,100,7.5,1200,20,MOP,78,Sugarcane,473
100,60,100,7.5,1200,20,MOP,78,Sugarcane,472
75,50,105,6.5,1300,25,MOP,78,Sugarcane,476
80,50,105,6.5,1300,25,MOP,78,Sugarcane,475
85,50,105,6.5,1300,25,MOP,78,Sugarcane,474
90,50,105,6.5,1300,25,MOP,78,Sugarcane,473
95,50,105,6.5,1300,25,MOP,78,Sugarcane,473
100,50,105,6.5,1300,25,MOP,78,Sugarcane,472
75,55,110,7,1400,30,MOP,78,Sugarcane,476
80,55,110,7,1400,30,MOP,78,Sugarcane,475
85,55,110,7,1400,30,MOP,78,Sugarcane,475
90,55,110,7,1400,30,MOP,78,Sugarcane,474
95,55,110,7,1400,30,MOP,78,Sugarcane,473
100,55,110,7,1400,30,MOP,78,Sugarcane,473
75,60,115,7.5,1500,35,MOP,78,Sugarcane,479
80,60,115,7.5,1500,35,MOP,78,Sugarcane,479
85,60,115,7.5,1500,35,MOP,78,Sugarcane,478
90,60,115,7.5,1500,35,MOP,78,Sugarcane,477
95,60,115,7.5,1500,35,MOP,78,Sugarcane,477
100,60,115,7.5,1500,35,MOP,78,Sugarcane,476
20,25,25,6.5,600,25,10:26:26 NPK,50,Jowar,111
25,25,25,6.5,600,25,10:26:26 NPK,50,Jowar,111
30,25,25,6.5,600,25,10:26:26 NPK,50,Jowar,111
35,25,25,6.5,600,25,10:26:26 NPK,50,Jowar,110
40,25,25,6.5,600,25,10:26:26 NPK,50,Jowar,110
20,30,30,7,700,30,10:26:26 NPK,50,Jowar,109
25,30,30,7,700,30,10:26:26 NPK,50,Jowar,109
30,30,30,7,700,30,10:26:26 NPK,50,Jowar,109
35,30,30,7,700,30,10:26:26 NPK,50,Jowar,108
40,30,30,7,700,30,10:26:26 NPK,50,Jowar,108
20,35,35,7.5,800,25,10:26:26 NPK,50,Jowar,109
25,35,35,7.5,800,25,10:26:26 NPK,50,Jowar,109
30,35,35,7.5,800,25,10:26:26 NPK,50,Jowar,108
35,35,35,7.5,800,25,10:26:26 NPK,50,Jowar,108
40,35,35,7.5,800,25,10:26:26 NPK,50,Jowar,108
20,25,40,6.5,600,30,10:26:26 NPK,50,Jowar,110
25,25,40,6.5,600,30,10:26:26 NPK,50,Jowar,110
30,25,40,6.5,600,30,10:26:26 NPK,50,Jowar,109
35,25,40,6.5,600,30,10:26:26 NPK,50,Jowar,109
40,25,40,6.5,600,30,10:26:26 NPK,50,Jowar,109
20,30,25,7,700,25,Urea,50,Jowar,110
25,30,25,7,700,25,Urea,50,Jowar,110
30,30,25,7,700,25,Urea,50,Jowar,110
35,30,25,7,700,25,Urea,50,Jowar,109
40,30,25,7,700,25,Urea,50,Jowar,109
20,35,30,7.5,800,30,Urea,50,Jowar,110
25,35,30,7.5,800,30,Urea,50,Jowar,109
30,35,30,7.5,800,30,Urea,50,Jowar,109
35,35,30,7.5,800,30,Urea,50,Jowar,108
40,35,30,7.5,800,30,Urea,50,Jowar,108
20,25,35,6.5,600,25,Urea,50,Jowar,110
25,25,35,6.5,600,25,Urea,50,Jowar,110
30,25,35,6.5,600,25,Urea,50,Jowar,109
35,25,35,6.5,600,25,Urea,50,Jowar,109
40,25,35,6.5,600,25,Urea,50,Jowar,109
20,30,40,7,700,30,Urea,50,Jowar,109
25,30,40,7,700,30,Urea,50,Jowar,109
30,30,40,7,700,30,Urea,50,Jowar,108
35,30,40,7,700,30,Urea,50,Jowar,108
40,30,40,7,700,30,Urea,50,Jowar,108
20,35,25,7.5,800,25,SSP,50,Jowar,110
25,35,25,7.5,800,25,SSP,50,Jowar,110
30,35,25,7.5,800,25,SSP,50,Jowar,110
35,35,25,7.5,800,25,SSP,50,Jowar,109
40,35,25,7.5,800,25,SSP,50,Jowar,109
20,25,30,6.5,600,30,SSP,50,Jowar,111
25,25,30,6.5,600,30,SSP,50,Jowar,110
30,25,30,6.5,600,30,SSP,50,Jowar,110
35,25,30,6.5,600,30,SSP,50,Jowar,109
40,25,30,6.5,600,30,SSP,50,Jowar,109
20,30,35,7,700,25,SSP,50,Jowar,109
25,30,35,7,700,25,SSP,50,Jowar,109
30,30,35,7,700,25,SSP,50,Jowar,108
35,30,35,7,700,25,SSP,50,Jowar,108
40,30,35,7,700,25,SSP,50,Jowar,108
20,35,40,7.5,800,30,SSP,50,Jowar,109
25,35,40,7.5,800,30,SSP,50,Jowar,109
30,35,40,7.5,800,30,SSP,50,Jowar,108
35,35,40,7.5,800,30,SSP,50,Jowar,108
40,35,40,7.5,800,30,SSP,50,Jowar,108
40,20,20,6,600,25,10:26:26 NPK,50,Jowar,111
45,20,20,6,600,25,10:26:26 NPK,50,Jowar,111
50,20,20,6,600,25,10:26:26 NPK,50,Jowar,110
40,25,25,6.5,700,30,10:26:26 NPK,50,Jowar,109
45,25,25,6.5,700,30,10:26:26 NPK,50,Jowar,109
50,25,25,6.5,700,30,10:26:26 NPK,50,Jowar,108
40,20,25,7,800,25,10:26:26 NPK,50,Jowar,111
45,20,25,7,800,25,10:26:26 NPK,50,Jowar,110
50,20,25,7,800,25,10:26:26 NPK,50,Jowar,110
40,25,20,7.5,600,30,10:26:26 NPK,50,Jowar,110
45,25,20,7.5,600,30,10:26:26 NPK,50,Jowar,110
50,25,20,7.5,600,30,10:26:26 NPK,50,Jowar,109
100,40,50,6,800,25,DAP,55,Cotton,170
105,40,50,6,800,25,DAP,55,Cotton,170
110,40,50,6,800,25,DAP,55,Cotton,169
115,40,50,6,800,25,DAP,55,Cotton,169
120,40,50,6,800,25,DAP,55,Cotton,169
125,40,50,6,800,25,DAP,55,Cotton,169
130,40,50,6,800,25,DAP,55,Cotton,170
135,40,50,6,800,25,DAP,55,Cotton,170
140,40,50,6,800,25,DAP,55,Cotton,170
145,40,50,6,800,25,DAP,55,Cotton,171
150,40,50,6,800,25,DAP,55,Cotton,171
100,45,55,6.5,900,30,DAP,55,Cotton,169
105,45,55,6.5,900,30,DAP,55,Cotton,169
110,45,55,6.5,900,30,DAP,55,Cotton,168
115,45,55,6.5,900,30,DAP,55,Cotton,168
120,45,55,6.5,900,30,DAP,55,Cotton,168
125,45,55,6.5,900,30,DAP,55,Cotton,168
130,45,55,6.5,900,30,DAP,55,Cotton,169
135,45,55,6.5,900,30,DAP,55,Cotton,169
140,45,55,6.5,900,30,DAP,55,Cotton,169
145,45,55,6.5,900,30,DAP,55,Cotton,170
150,45,55,6.5,900,30,DAP,55,Cotton,170
100,50,60,7,1000,35,DAP,55,Cotton,170
105,50,60,7,1000,35,DAP,55,Cotton,170
110,50,60,7,1000,35,DAP,55,Cotton,169
115,50,60,7,1000,35,DAP,55,Cotton,169
120,50,60,7,1000,35,DAP,55,Cotton,169
125,50,60,7,1000,35,DAP,55,Cotton,169
130,50,60,7,1000,35,DAP,55,Cotton,170
135,50,60,7,1000,35,DAP,55,Cotton,170
140,50,60,7,1000,35,DAP,55,Cotton,170
145,50,60,7,1000,35,DAP,55,Cotton,170
150,50,60,7,1000,35,DAP,55,Cotton,171
100,55,65,7.5,800,25,DAP,55,Cotton,168
105,55,65,7.5,800,25,DAP,55,Cotton,167
110,55,65,7.5,800,25,DAP,55,Cotton,167
115,55,65,7.5,800,25,DAP,55,Cotton,167
120,55,65,7.5,800,25,DAP,55,Cotton,167
125,55,65,7.5,800,25,DAP,55,Cotton,167
130,55,65,7.5,800,25,DAP,55,Cotton,167
135,55,65,7.5,800,25,DAP,55,Cotton,168
140,55,65,7.5,800,25,DAP,55,Cotton,168
145,55,65,7.5,800,25,DAP,55,Cotton,168
150,55,65,7.5,800,25,DAP,55,Cotton,168
100,60,70,6,900,30,DAP,55,Cotton,168
105,60,70,6,900,30,DAP,55,Cotton,168
110,60,70,6,900,30,DAP,55,Cotton,168
115,60,70,6,900,30,DAP,55,Cotton,168
120,60,70,6,900,30,DAP,55,Cotton,168
125,60,70,6,900,30,DAP,55,Cotton,168
130,60,70,6,900,30,DAP,55,Cotton,168
135,60,70,6,900,30,DAP,55,Cotton,168
140,60,70,6,900,30,DAP,55,Cotton,169
145,60,70,6,900,30,DAP,55,Cotton,169
150,60,70,6,900,30,DAP,55,Cotton,169
100,40,75,6.5,1000,35,DAP,55,Cotton,172
105,40,75,6.5,1000,35,DAP,55,Cotton,172
110,40,75,6.5,1000,35,DAP,55,Cotton,172
115,40,75,6.5,1000,35,DAP,55,Cotton,172
120,40,75,6.5,1000,35,DAP,55,Cotton,172
125,40,75,6.5,1000,35,DAP,55,Cotton,172
130,40,75,6.5,1000,35,DAP,55,Cotton,172
135,40,75,6.5,1000,35,DAP,55,Cotton,172
140,40,75,6.5,1000,35,DAP,55,Cotton,173
145,40,75,6.5,1000,35,DAP,55,Cotton,173
150,40,75,6.5,1000,35,DAP,55,Cotton,173
100,45,50,6,800,25,Magnesium Sulphate,55,Cotton,169
105,45,50,6,800,25,Magnesium Sulphate,55,Cotton,169
110,45,50,6,800,25,Magnesium Sulphate,55,Cotton,169
115,45,50,6,800,25,Magnesium Sulphate,55,Cotton,169
120,45,50,6,800,25,Magnesium Sulphate,55,Cotton,169
125,45,50,6,800,25,Magnesium Sulphate,55,Cotton,169
130,45,50,6,800,25,Magnesium Sulphate,55,Cotton,169
135,45,50,6,800,25,Magnesium Sulphate,55,Cotton,169
140,45,50,6,800,25,Magnesium Sulphate,55,Cotton,170
145,45,50,6,800,25,Magnesium Sulphate,55,Cotton,170
150,45,50,6,800,25,Magnesium Sulphate,55,Cotton,170
100,50,55,6.5,900,30,Magnesium Sulphate,55,Cotton,168
105,50,55,6.5,900,30,Magnesium Sulphate,55,Cotton,168
110,50,55,6.5,900,30,Magnesium Sulphate,55,Cotton,168
115,50,55,6.5,900,30,Magnesium Sulphate,55,Cotton,168
120,50,55,6.5,900,30,Magnesium Sulphate,55,Cotton,168
125,50,55,6.5,900,30,Magnesium Sulphate,55,Cotton,168
130,50,55,6.5,900,30,Magnesium Sulphate,55,Cotton,168
135,50,55,6.5,900,30,Magnesium Sulphate,55,Cotton,168
140,50,55,6.5,900,30,Magnesium Sulphate,55,Cotton,169
145,50,55,6.5,900,30,Magnesium Sulphate,55,Cotton,169
150,50,55,6.5,900,30,Magnesium Sulphate,55,Cotton,169
100,55,60,7,1000,35,Magnesium Sulphate,55,Cotton,169
105,55,60,7,1000,35,Magnesium Sulphate,55,Cotton,169
110,55,60,7,1000,35,Magnesium Sulphate,55,Cotton,169
115,55,60,7,1000,35,Magnesium Sulphate,55,Cotton,168
120,55,60,7,1000,35,Magnesium Sulphate,55,Cotton,168
125,55,60,7,1000,35,Magnesium Sulphate,55,Cotton,169
130,55,60,7,1000,35,Magnesium Sulphate,55,Cotton,169
135,55,60,7,1000,35,Magnesium Sulphate,55,Cotton,169
140,55,60,7,1000,35,Magnesium Sulphate,55,Cotton,170
145,55,60,7,1000,35,Magnesium Sulphate,55,Cotton,170
150,55,60,7,1000,35,Magnesium Sulphate,55,Cotton,170
100,60,65,7.5,800,25,Magnesium Sulphate,55,Cotton,168
105,60,65,7.5,800,25,Magnesium Sulphate,55,Cotton,168
110,60,65,7.5,800,25,Magnesium Sulphate,55,Cotton,167
115,60,65,7.5,800,25,Magnesium Sulphate,55,Cotton,167
120,60,65,7.5,800,25,Magnesium Sulphate,55,Cotton,167
125,60,65,7.5,800,25,Magnesium Sulphate,55,Cotton,167
130,60,65,7.5,800,25,Magnesium Sulphate,55,Cotton,168
135,60,65,7.5,800,25,Magnesium Sulphate,55,Cotton,168
140,60,65,7.5,800,25,Magnesium Sulphate,55,Cotton,168
145,60,65,7.5,800,25,Magnesium Sulphate,55,Cotton,168
150,60,65,7.5,800,25,Magnesium Sulphate,55,Cotton,169
100,40,70,6,900,30,Magnesium Sulphate,55,Cotton,170
105,40,70,6,900,30,Magnesium Sulphate,55,Cotton,170
110,40,70,6,900,30,Magnesium Sulphate,55,Cotton,169
115,40,70,6,900,30,Magnesium Sulphate,55,Cotton,169
120,40,70,6,900,30,Magnesium Sulphate,55,Cotton,169
125,40,70,6,900,30,Magnesium Sulphate,55,Cotton,169
130,40,70,6,900,30,Magnesium Sulphate,55,Cotton,170
135,40,70,6,900,30,Magnesium Sulphate,55,Cotton,170
140,40,70,6,900,30,Magnesium Sulphate,55,Cotton,170
145,40,70,6,900,30,Magnesium Sulphate,55,Cotton,171
150,40,70,6,900,30,Magnesium Sulphate,55,Cotton,171
100,45,75,6.5,1000,35,Magnesium Sulphate,55,Cotton,172
105,45,75,6.5,1000,35,Magnesium Sulphate,55,Cotton,172
110,45,75,6.5,1000,35,Magnesium Sulphate,55,Cotton,171
115,45,75,6.5,1000,35,Magnesium Sulphate,55,Cotton,171
120,45,75,6.5,1000,35,Magnesium Sulphate,55,Cotton,171
125,45,75,6.5,1000,35,Magnesium Sulphate,55,Cotton,171
130,45,75,6.5,1000,35,Magnesium Sulphate,55,Cotton,172
135,45,75,6.5,1000,35,Magnesium Sulphate,55,Cotton,172
140,45,75,6.5,1000,35,Magnesium Sulphate,55,Cotton,172
145,45,75,6.5,1000,35,Magnesium Sulphate,55,Cotton,172
150,45,75,6.5,1000,35,Magnesium Sulphate,55,Cotton,173
100,50,50,7,800,25,13:32:26 NPK,55,Cotton,169
105,50,50,7,800,25,13:32:26 NPK,55,Cotton,169
110,50,50,7,800,25,13:32:26 NPK,55,Cotton,168
115,50,50,7,800,25,13:32:26 NPK,55,Cotton,168
120,50,50,7,800,25,13:32:26 NPK,55,Cotton,168
125,50,50,7,800,25,13:32:26 NPK,55,Cotton,168
130,50,50,7,800,25,13:32:26 NPK,55,Cotton,169
135,50,50,7,800,25,13:32:26 NPK,55,Cotton,169
140,50,50,7,800,25,13:32:26 NPK,55,Cotton,169
145,50,50,7,800,25,13:32:26 NPK,55,Cotton,169
150,50,50,7,800,25,13:32:26 NPK,55,Cotton,170
100,55,55,7.5,900,30,13:32:26 NPK,55,Cotton,168
105,55,55,7.5,900,30,13:32:26 NPK,55,Cotton,168
110,55,55,7.5,900,30,13:32:26 NPK,55,Cotton,167
115,55,55,7.5,900,30,13:32:26 NPK,55,Cotton,167
120,55,55,7.5,900,30,13:32:26 NPK,55,Cotton,167
125,55,55,7.5,900,30,13:32:26 NPK,55,Cotton,167
130,55,55,7.5,900,30,13:32:26 NPK,55,Cotton,168
135,55,55,7.5,900,30,13:32:26 NPK,55,Cotton,168
140,55,55,7.5,900,30,13:32:26 NPK,55,Cotton,168
145,55,55,7.5,900,30,13:32:26 NPK,55,Cotton,168
150,55,55,7.5,900,30,13:32:26 NPK,55,Cotton,169
100,60,60,6,1000,35,13:32:26 NPK,55,Cotton,169
105,60,60,6,1000,35,13:32:26 NPK,55,Cotton,169
110,60,60,6,1000,35,13:32:26 NPK,55,Cotton,169
115,60,60,6,1000,35,13:32:26 NPK,55,Cotton,169
120,60,60,6,1000,35,13:32:26 NPK,55,Cotton,169
125,60,60,6,1000,35,13:32:26 NPK,55,Cotton,169
130,60,60,6,1000,35,13:32:26 NPK,55,Cotton,169
135,60,60,6,1000,35,13:32:26 NPK,55,Cotton,169
140,60,60,6,1000,35,13:32:26 NPK,55,Cotton,170
145,60,60,6,1000,35,13:32:26 NPK,55,Cotton,170
150,60,60,6,1000,35,13:32:26 NPK,55,Cotton,170
100,40,65,6.5,800,25,13:32:26 NPK,55,Cotton,169
105,40,65,6.5,800,25,13:32:26 NPK,55,Cotton,169
110,40,65,6.5,800,25,13:32:26 NPK,55,Cotton,169
115,40,65,6.5,800,25,13:32:26 NPK,55,Cotton,169
120,40,65,6.5,800,25,13:32:26 NPK,55,Cotton,169
125,40,65,6.5,800,25,13:32:26 NPK,55,Cotton,169
130,40,65,6.5,800,25,13:32:26 NPK,55,Cotton,169
135,40,65,6.5,800,25,13:32:26 NPK,55,Cotton,169
140,40,65,6.5,800,25,13:32:26 NPK,55,Cotton,170
145,40,65,6.5,800,25,13:32:26 NPK,55,Cotton,170
150,40,65,6.5,800,25,13:32:26 NPK,55,Cotton,170
100,45,70,7,900,30,13:32:26 NPK,55,Cotton,169
105,45,70,7,900,30,13:32:26 NPK,55,Cotton,169
110,45,70,7,900,30,13:32:26 NPK,55,Cotton,169
115,45,70,7,900,30,13:32:26 NPK,55,Cotton,169
120,45,70,7,900,30,13:32:26 NPK,55,Cotton,169
125,45,70,7,900,30,13:32:26 NPK,55,Cotton,169
130,45,70,7,900,30,13:32:26 NPK,55,Cotton,169
135,45,70,7,900,30,13:32:26 NPK,55,Cotton,169
140,45,70,7,900,30,13:32:26 NPK,55,Cotton,170
145,45,70,7,900,30,13:32:26 NPK,55,Cotton,170
150,45,70,7,900,30,13:32:26 NPK,55,Cotton,170
100,50,75,7.5,1000,35,13:32:26 NPK,55,Cotton,171
105,50,75,7.5,1000,35,13:32:26 NPK,55,Cotton,171
110,50,75,7.5,1000,35,13:32:26 NPK,55,Cotton,171
115,50,75,7.5,1000,35,13:32:26 NPK,55,Cotton,170
120,50,75,7.5,1000,35,13:32:26 NPK,55,Cotton,170
125,50,75,7.5,1000,35,13:32:26 NPK,55,Cotton,171
130,50,75,7.5,1000,35,13:32:26 NPK,55,Cotton,171
135,50,75,7.5,1000,35,13:32:26 NPK,55,Cotton,171
140,50,75,7.5,1000,35,13:32:26 NPK,55,Cotton,172
145,50,75,7.5,1000,35,13:32:26 NPK,55,Cotton,172
150,50,75,7.5,1000,35,13:32:26 NPK,55,Cotton,172
100,55,50,6,800,25,DAP,55,Cotton,168
105,55,50,6,800,25,DAP,55,Cotton,168
110,55,50,6,800,25,DAP,55,Cotton,168
115,55,50,6,800,25,DAP,55,Cotton,167
120,55,50,6,800,25,DAP,55,Cotton,167
125,55,50,6,800,25,DAP,55,Cotton,168
130,55,50,6,800,25,DAP,55,Cotton,168
135,55,50,6,800,25,DAP,55,Cotton,168
140,55,50,6,800,25,DAP,55,Cotton,169
145,55,50,6,800,25,DAP,55,Cotton,169
150,55,50,6,800,25,DAP,55,Cotton,169
100,60,55,6.5,900,30,DAP,55,Cotton,168
105,60,55,6.5,900,30,DAP,55,Cotton,168
110,60,55,6.5,900,30,DAP,55,Cotton,167
115,60,55,6.5,900,30,DAP,55,Cotton,167
120,60,55,6.5,900,30,DAP,55,Cotton,167
125,60,55,6.5,900,30,DAP,55,Cotton,167
130,60,55,6.5,900,30,DAP,55,Cotton,168
135,60,55,6.5,900,30,DAP,55,Cotton,168
140,60,55,6.5,900,30,DAP,55,Cotton,168
145,60,55,6.5,900,30,DAP,55,Cotton,169
150,60,55,6.5,900,30,DAP,55,Cotton,169
100,40,60,7,1000,35,DAP,55,Cotton,171
105,40,60,7,1000,35,DAP,55,Cotton,171
110,40,60,7,1000,35,DAP,55,Cotton,170
